epoch,accuracy,learning_rate,loss,precision,recall,top_3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_3_accuracy
0,0.3834058344364166,0.0010000000474974513,2.208329916000366,0.6129223704338074,0.23062339425086975,0.6149213910102844,0.6314091086387634,1.2452698945999146,0.7537190318107605,0.4904983937740326,0.8705629110336304
1,0.5423218607902527,0.0010000000474974513,1.465732216835022,0.7002494931221008,0.40693655610084534,0.7869967818260193,0.6801720857620239,1.076715111732483,0.7785817384719849,0.5787020325660706,0.9006812572479248
2,0.5911676287651062,0.0010000000474974513,1.2399020195007324,0.7286941409111023,0.4729563891887665,0.8264748454093933,0.7149515748023987,0.9127057790756226,0.8082512617111206,0.6181427240371704,0.9186088442802429
3,0.6247351169586182,0.0010000000474974513,1.1029132604599,0.7494719624519348,0.5144418478012085,0.8533511757850647,0.7224811911582947,0.8663684129714966,0.8035476803779602,0.6496952176094055,0.9282897114753723
4,0.641240119934082,0.0010000000474974513,1.0601754188537598,0.7532487511634827,0.5429909825325012,0.8659529089927673,0.7873789668083191,0.6928651928901672,0.8625218868255615,0.706346333026886,0.9465758204460144
5,0.6584141850471497,0.0010000000474974513,1.0103577375411987,0.7706142067909241,0.5638452172279358,0.8746514916419983,0.7475797533988953,0.8259143233299255,0.8205582499504089,0.66403728723526,0.9390462636947632
6,0.6693431735038757,0.0010000000474974513,0.9702550768852234,0.7744002342224121,0.5795695185661316,0.8815657496452332,0.7751882672309875,0.6959505677223206,0.8336833119392395,0.7117246389389038,0.9555396437644958
7,0.6712389588356018,0.0010000000474974513,0.9361023902893066,0.7751217484474182,0.5858146548271179,0.8823463916778564,0.7231982946395874,0.9165170192718506,0.7861471772193909,0.651129424571991,0.9311581254005432
8,0.6916471719741821,0.0005000000237487257,0.8834167718887329,0.7956692576408386,0.610572099685669,0.8902642726898193,0.797776997089386,0.638716459274292,0.8626116514205933,0.727142333984375,0.9605593681335449
9,0.7065908312797546,0.0005000000237487257,0.8353868126869202,0.8036757111549377,0.6290844082832336,0.9030891060829163,0.7995697259902954,0.6264255046844482,0.8580968379974365,0.7371817827224731,0.9573323726654053
10,0.7213114500045776,0.0005000000237487257,0.7887828946113586,0.8112015724182129,0.64447420835495,0.9116761684417725,0.8157045245170593,0.5942381024360657,0.8692783713340759,0.755826473236084,0.9609178900718689
11,0.7225381731987,0.0005000000237487257,0.8004879951477051,0.8103182315826416,0.6445857286453247,0.9103379249572754,0.8261025547981262,0.5753960609436035,0.8747433423995972,0.763714611530304,0.9616349935531616
12,0.723430335521698,0.0005000000237487257,0.7718827128410339,0.8098287582397461,0.6487119197845459,0.9130144119262695,0.8304051756858826,0.538379967212677,0.8813765048980713,0.7805665135383606,0.9619935750961304
13,0.7248800992965698,0.0005000000237487257,0.7675564289093018,0.8137050867080688,0.6541764140129089,0.9139065742492676,0.8314808011054993,0.5534165501594543,0.8789346218109131,0.7809250354766846,0.9680889248847961
14,0.7362551689147949,0.0005000000237487257,0.7368528246879578,0.8212038278579712,0.6694546937942505,0.9204862117767334,0.8372176289558411,0.5251261591911316,0.8881204128265381,0.7827178239822388,0.9680889248847961
15,0.7281141877174377,0.0005000000237487257,0.7541273236274719,0.8104566335678101,0.6551800966262817,0.9182558059692383,0.8393689393997192,0.503415584564209,0.8887996673583984,0.7938328981399536,0.9720329642295837
